slang,translationID,translationEN,contextID,contextEN,exampleID,exampleEN,sentiment
amiien,amien,amen,Digunakan sebagai ungkapan persetujuan atau harapan yang kuat dalam konteks doa atau pernyataan positif.,Used as an expression of agreement or a strong hope in the context of prayer or positive statements.,"Semoga semua doa kita dikabulkan, amiien!","May all our prayers be granted, amen!",positive
terbaikkk,terbaik,the best,Digunakan untuk mengekspresikan kekaguman atau pujian yang berlebihan terhadap seseorang atau sesuatu.,Used to express admiration or excessive praise for someone or something.,"Film itu terbaikkk, aku suka banget!","That movie is the best, I really love it!",positive
ayahh,ayah,father,"Merupakan bentuk panggilan akrab atau ekspresi kasih sayang terhadap ayah, sering digunakan dalam konteks informal antara anak dan orang tua.","It is a term of endearment or affectionate reference to one's father, often used in informal contexts between children and parents.","Ayahh, bolehkah aku minta uang jajan?","Dad, can I ask for some pocket money?",positive
ae,saja,just,Digunakan dalam percakapan santai untuk menekankan bahwa sesuatu dilakukan tanpa tambahan atau hanya itu saja.,Used in casual conversation to emphasize that something is done without addition or merely that.,Bisa kita pergi ae?,Can we just go?,neutral
ngerti,mengerti,to understand,"Digunakan dalam percakapan sehari-hari untuk mengekspresikan pemahaman terhadap suatu hal, sering kali dalam konteks informal.","Used in everyday conversation to express understanding of something, often in an informal context.",Aku ngerti maksudmu sekarang.,I understand what you mean now.,positive
mrekaaaa,mereka,they,"Digunakan dalam percakapan santai atau di media sosial, sering kali untuk mengekspresikan kekaguman atau mengolok-olok kelompok tertentu.","Used in casual conversations or on social media, often to express admiration or to tease a particular group.",Mrekaaaa lagi pada kumpul di cafe.,They are gathering at the cafe again.,positive
yaampuuuunnnn,ya ampun,oh my god / wow,"Digunakan untuk mengekspresikan keterkejutan, keheranan, atau kekaguman yang kuat. Biasanya diucapkan dalam situasi emosional atau saat melihat sesuatu yang mengejutkan.","Used to express shock, amazement, or strong astonishment. Typically uttered in emotional situations or when witnessing something surprising.","Yaampuuuunnnn, kamu berhasil juara!","Oh my god, you won the championship!",positive
nyanyiin,menyanyikan,to sing (something) to someone,"Digunakan ketika seseorang menyanyikan lagu untuk orang lain, sering kali dalam konteks yang lebih santai atau akrab.","Used when someone sings a song for another person, often in a more casual or intimate context.",Dia nyanyiin lagu kesukaan aku di acara ulang tahunku.,He sang my favorite song to me at my birthday party.,positive
ahhh,ah,ah,"Digunakan untuk mengekspresikan berbagai emosi seperti kelegaan, kejutan, atau pemahaman mendalam.","Used to express various emotions such as relief, surprise, or deep understanding.","Ahhh, akhirnya aku mengerti!","Ahhh, I finally understand!",positive
tempt,tempat,place,"Digunakan dalam percakapan santai untuk merujuk pada lokasi atau tempat tertentu, sering kali dengan nuansa akrab.","Used in casual conversation to refer to a specific location or place, often with a familiar connotation.","Yuk, kita ke tempt yang baru dibuka itu.",Let's go to that new place that just opened.,positive
kh,kah,is it? / right?,Digunakan dalam percakapan untuk menegaskan atau meminta konfirmasi atas sebuah pernyataan.,Used in conversation to affirm or seek confirmation of a statement.,"Kamu sudah makan, kh?","You've eaten, right?",neutral
jalan2,jalan-jalan,to go for a walk / to hang out,"Digunakan dalam konteks bersantai atau menghabiskan waktu di luar rumah, seringkali dengan teman-teman.","Used in the context of relaxing or spending time outside the home, often with friends.",Ayo kita jalan-jalan ke mall besok.,Let's go hang out at the mall tomorrow.,positive
asyikkkkk,asyik,cool / fun,"Digunakan untuk mengekspresikan perasaan senang atau puas terhadap suatu hal, sering kali dalam konteks santai atau informal.","Used to express feelings of happiness or satisfaction towards something, often in a casual or informal context.",Acara kemarin malam asyikkkkk!,Last night's event was so fun!,positive
iriiiii,iri,envy,"Digunakan untuk mengekspresikan rasa iri yang berlebihan, sering kali disertai dengan nada bercanda atau sarkasme.","Used to express excessive envy, often accompanied by a joking or sarcastic tone.","Lihat dia, mobil barunya keren banget, iriiiii!","Look at him, his new car is so cool, I'm so envious!",negative
naaaaahh,nah,nah,"Digunakan untuk mengekspresikan persetujuan, kepastian, atau untuk menegaskan sesuatu dengan nada santai. Sering digunakan dalam percakapan informal.","Used to express agreement, certainty, or to affirm something in a casual tone. Frequently used in informal conversations.","Naaaaahh, itu bukan masalah besar.","Naaaaahh, that's not a big deal.",neutral
kka,kakak,older sibling,"Digunakan sebagai panggilan akrab atau hormat kepada seseorang yang lebih tua, sering kali dalam hubungan keluarga atau persahabatan.","Used as an affectionate or respectful term for someone older, often in family or friendship contexts.","Kka, mau ikut nonton bioskop?","Hey older sibling, do you want to join me for a movie?",positive
yak,ya,yes,"Digunakan sebagai ungkapan persetujuan yang santai atau akrab, sering kali dalam percakapan tidak formal.","Used as a casual or familiar expression of agreement, often in informal conversations.","Yak, aku setuju dengan pendapatmu.","Yes, I agree with your opinion.",positive
jrang,jarang,rarely,"Digunakan untuk menggambarkan sesuatu yang tidak sering terjadi atau jarang dilakukan, sering kali dalam konteks informal.","Used to describe something that does not happen often or is rarely done, often in an informal context.",Dia jrang sekali pergi ke acara keluarga.,He rarely goes to family events.,neutral
msuk,masuk,to enter,Digunakan dalam situasi santai atau informal ketika berbicara tentang memasuki suatu tempat atau situasi.,Used in casual or informal situations when talking about entering a place or situation.,Ayo msuk ke dalam mobil!,"Come on, get in the car!",neutral
gossip2.an,gosip-gosipan,gossiping,"Digunakan untuk merujuk pada aktivitas berbagi atau membicarakan rumor atau berita tentang orang lain, sering kali dengan nada santai atau akrab.","Used to refer to the activity of sharing or discussing rumors or news about others, often in a casual or familiar tone.",Mereka sering melakukan gossip2.an di kantin.,They often engage in gossiping in the cafeteria.,neutral
makkk,mak,mom,"Digunakan sebagai ungkapan kasih sayang atau keakraban saat merujuk kepada ibu, sering kali diucapkan dengan nada lembut atau penuh rasa sayang.","Used as an expression of affection or familiarity when referring to a mother, often said with a soft or loving tone.","Makkk, aku kangen banget sama kamu.","Mom, I really miss you.",positive
guee,gue,I / me,"Merupakan variasi informal dari kata 'gue', sering digunakan dalam percakapan santai antara teman akrab.","An informal variation of 'gue', commonly used in casual conversations among close friends.",Guee mau nonton film nanti malam.,I wanna watch a movie tonight.,positive
pengennn,ingin,want,"Digunakan dalam konteks yang lebih informal dan ekspresif, sering kali menunjukkan keinginan yang kuat atau mendalam.","Used in a more informal and expressive context, often indicating a strong or deep desire.",Aku pengennn banget liburan ke Bali.,I really want to vacation in Bali.,positive
gilzz,gila,crazy,"Digunakan untuk menggambarkan seseorang atau sesuatu yang sangat ekstrim, aneh, atau tidak biasa, sering kali dengan nada bercanda atau positif.","Used to describe someone or something that is very extreme, weird, or unusual, often with a joking or positive tone.","Dia bener-bener gilzz, suka bikin hal-hal konyol.","He's really crazy, always doing silly things.",positive
nyaru,menyaru,to disguise oneself,"Digunakan untuk menggambarkan tindakan seseorang yang berpura-pura atau menyamar agar tidak dikenali, sering kali dalam konteks menyembunyikan identitas.","Used to describe someone's action of pretending or disguising themselves to avoid being recognized, often in the context of hiding one's identity.",Dia nyaru jadi pengemis supaya bisa masuk ke acara itu.,He disguised himself as a beggar to get into that event.,neutral
gilaaa,gila,crazy,"Digunakan untuk menyatakan kekaguman, kejutan, atau ketidakpercayaan terhadap sesuatu yang luar biasa atau tidak biasa.","Used to express admiration, surprise, or disbelief towards something extraordinary or unusual.","Gilaaa, itu mobilnya keren banget!","Wow, that car is really cool!",positive
kebarat2an,kebarat-baratan,Westernized,"Digunakan untuk menggambarkan seseorang atau sesuatu yang terlalu terpengaruh oleh budaya Barat, sering kali dengan nada kritik atau sinis.","Used to describe someone or something that is overly influenced by Western culture, often with a critical or sarcastic tone.","Dia itu kebarat2an banget, sampai-sampai lupa budaya sendiri.",He's so Westernized that he forgets his own culture.,negative
mantabs,mantab,awesome,Digunakan untuk mengekspresikan kekaguman atau persetujuan yang kuat terhadap sesuatu.,Used to express strong admiration or approval of something.,Acara konser tadi malam mantabs banget!,The concert last night was totally awesome!,positive
mlu,malu,embarrassed,"Digunakan untuk menggambarkan perasaan tidak nyaman atau malu dalam situasi tertentu, seringkali ketika seseorang merasa terjebak atau tidak percaya diri.","Used to describe a feeling of discomfort or embarrassment in certain situations, often when someone feels awkward or insecure.",Gue mlu banget pas dia ngajak bicara.,I was so embarrassed when he asked me to talk.,negative
payahh,payah,useless / bad,"Digunakan untuk menggambarkan sesuatu yang tidak memuaskan atau tidak berhasil, sering kali dengan nada sindiran.","Used to describe something that is unsatisfactory or unsuccessful, often with a sarcastic tone.",Lagu baru dia payahh banget.,His new song is really bad.,negative
ntaf,mantap,awesome,Digunakan untuk mengekspresikan rasa puas atau kekaguman terhadap sesuatu yang dianggap baik atau mengesankan.,Used to express satisfaction or admiration for something considered good or impressive.,Konser kemarin itu ntaf banget!,The concert yesterday was so awesome!,positive
"mudah""n",mudah-mudahan,hopefully,Digunakan untuk menyampaikan harapan atau keinginan akan suatu hal yang diinginkan terjadi.,Used to express hope or desire for something that is wished to happen.,Mudahn kita bisa liburan bareng tahun ini.,Hopefully we can go on vacation together this year.,positive
milikin,memiliki,to own / to have,Digunakan dalam bahasa percakapan sehari-hari untuk menyatakan kepemilikan atau penguasaan terhadap sesuatu dengan cara yang lebih santai.,Used in everyday conversation to express ownership or possession of something in a more casual way.,Gue milikin buku itu dari tahun lalu.,I’ve owned that book since last year.,neutral
kamo,kamu,you,"Digunakan dalam percakapan santai di antara teman atau orang yang akrab, sering kali dengan nada akrab atau bersahabat.","Used in casual conversations among friends or familiar people, often with a friendly or informal tone.",Kamo mau kemana hari ini?,Where are you going today?,positive
inih,ini,this,"Digunakan sebagai bentuk informal dari kata 'ini', biasanya dalam percakapan santai atau di kalangan teman dekat.","Used as an informal variation of the word 'ini', typically in casual conversations or among close friends.",Aku suka banget sama inih!,I really like this!,positive
sukaaaa,suka,like,"Digunakan untuk mengekspresikan perasaan senang atau ketertarikan yang kuat terhadap sesuatu, sering kali diucapkan dengan nada ceria.","Used to express feelings of pleasure or strong interest in something, often said with a cheerful tone.",Aku sukaaaa banget film itu!,I really like that movie!,positive
sukaaaaaa,suka,like,"Digunakan untuk mengekspresikan perasaan suka yang berlebihan atau antusiasme terhadap sesuatu, sering kali digunakan dalam konteks informal dan santai.","Used to express an excessive or enthusiastic feeling of liking something, often in informal and casual contexts.",Aku sukaaaaaa banget sama film itu!,I really really like that movie!,positive
kirain,mengira,to assume,"Digunakan ketika seseorang salah mengira atau berprasangka tentang sesuatu, sering kali dengan nada kecewa atau mengejutkan.","Used when someone mistakenly assumes or has a misconception about something, often with a tone of disappointment or surprise.","Kirain dia sudah datang, ternyata belum.","I assumed he had already arrived, but he hasn't.",negative
mehoonggggg,mahal,expensive,"Digunakan untuk menggambarkan sesuatu yang memiliki harga tinggi, sering kali dengan nada bercanda atau sarkastik.","Used to describe something that has a high price, often with a joking or sarcastic tone.","Harganya mehoonggggg banget, ga kebeli deh.","The price is so expensive, I can't buy it.",negative
apikkkk,apik,neat / tidy,"Digunakan untuk menggambarkan sesuatu yang rapi, baik, atau menarik. Sering digunakan dalam konteks pujian.","Used to describe something that is neat, tidy, or attractive. Often used in a context of praise.",Hasil kerjamu apikkkk banget!,Your work is so neat!,positive
yach,ya,yeah,Digunakan sebagai persetujuan atau konfirmasi dalam percakapan santai.,Used as an affirmation or confirmation in casual conversations.,"Yach, aku setuju dengan pendapatmu.","Yeah, I agree with your opinion.",positive
kereenn,keren,cool,Digunakan untuk mengekspresikan rasa kagum atau apresiasi terhadap seseorang atau sesuatu yang dianggap menarik atau mengesankan.,Used to express admiration or appreciation for someone or something considered interesting or impressive.,Baju barunya keren banget!,Her new outfit is so cool!,positive
ginii,begini,like this,Digunakan untuk menunjukkan atau memberikan penjelasan tentang sesuatu dengan cara yang lebih informal dan santai.,Used to indicate or explain something in a more informal and casual manner.,"Ginii, aku mau cerita tentang kemarin.","Like this, I want to tell you about yesterday.",neutral
ayoook,ayo,come on,Digunakan untuk mengajak atau mendorong seseorang agar segera melakukan sesuatu dengan semangat.,Used to invite or encourage someone to do something promptly and enthusiastically.,"Ayoook, kita berangkat sekarang!","Come on, let's leave now!",positive
yoiii,yoi,sure / absolutely,"Digunakan untuk mengekspresikan persetujuan atau keyakinan yang kuat, seringkali dengan nada santai dan akrab.","Used to express strong agreement or certainty, often in a casual and friendly tone.","Yoiii, kita berangkat sekarang!","Sure, let's leave now!",positive
gituuu,begitu,like that,Digunakan untuk menekankan pernyataan atau memberikan penjelasan tambahan dengan nada santai dan akrab.,Used to emphasize a statement or provide additional explanation in a casual and friendly tone.,"Aku suka film itu, gituuu.","I like that movie, like that.",positive
iyaaa,iya,yes,"Merupakan bentuk informal dari 'iya', sering digunakan untuk mengekspresikan persetujuan dengan nuansa yang lebih antusias atau akrab.","An informal version of 'iya', often used to express agreement with a more enthusiastic or friendly nuance.","Iyaaa, aku setuju dengan ide itu!","Yes, I agree with that idea!",positive
liptsk,lipstik,lipstick,"Digunakan dalam konteks kecantikan, sering kali diucapkan oleh para remaja atau kaum muda saat membahas produk makeup.","Used in the beauty context, often spoken by teenagers or young people when discussing makeup products.",Aku mau beli liptsk baru di toko kosmetik.,I want to buy a new lipstick at the cosmetics store.,positive
nyeplak,menjiplak,to plagiarize,"Digunakan untuk merujuk pada tindakan menjiplak atau menyalin karya orang lain tanpa izin, sering kali dalam konteks akademis atau kreatif.","Used to refer to the act of copying someone else's work without permission, often in academic or creative contexts.",Dia nyeplak tugas temannya dan mengumpulkannya.,He plagiarized his friend's assignment and submitted it.,negative
kmarin,kemarin,yesterday,"Digunakan dalam percakapan sehari-hari untuk merujuk pada hari sebelum hari ini, sering kali dalam konteks santai.","Used in everyday conversation to refer to the day before today, often in a casual context.",Kita nonton film bareng kmarin.,We watched a movie together yesterday.,neutral
mengncang,mengencang,to tighten,"Digunakan untuk menggambarkan tindakan memperkuat atau memperketat sesuatu, seringkali dalam konteks fisik atau emosional.","Used to describe the action of strengthening or tightening something, often in a physical or emotional context.",Dia harus mengncang ikat pinggangnya sebelum pergi.,He needs to tighten his belt before leaving.,neutral
tauu,tau,know,Biasanya digunakan dalam percakapan santai untuk menunjukkan pemahaman atau kesepakatan terhadap sesuatu.,Typically used in casual conversations to indicate understanding or agreement about something.,"Eh, tauu kan siapa yang menang kemarin?","Hey, you know who won yesterday, right?",neutral
skitar,sekitar,around / approximately,Digunakan dalam percakapan sehari-hari untuk menunjukkan perkiraan lokasi atau waktu.,Used in everyday conversations to indicate an approximation of location or time.,Kita berangkat skitar jam 7 malam.,We will leave around 7 PM.,neutral
ats,atas,above,Digunakan dalam percakapan santai untuk merujuk pada posisi yang lebih tinggi atau letak di atas sesuatu.,Used in casual conversations to refer to a higher position or location above something.,Kamu harus lihat poster yang ada di ats meja itu.,You should check out the poster that's above the table.,neutral
donk,dong,right?,Digunakan untuk menegaskan pernyataan atau meminta persetujuan dari lawan bicara.,Used to emphasize a statement or to seek agreement from the listener.,"Kamu datang ke pesta, donk!","You're coming to the party, right?",positive
heii,hai,hey,"Digunakan sebagai sapaan informal yang menunjukkan perhatian atau keakraban, sering dipakai di antara teman-teman atau dalam situasi santai.","Used as an informal greeting that conveys attention or familiarity, often used among friends or in casual situations.","Heii, apa kabar?","Hey, how are you?",positive
diputusin,diputuskan,to be dumped,"Digunakan untuk merujuk pada situasi ketika seseorang diakhiri hubungan romantisnya, sering kali dengan nuansa kekecewaan atau kehilangan.","Used to refer to a situation when someone has their romantic relationship ended, often carrying a sense of disappointment or loss.",Dia baru saja diputusin sama pacarnya.,She just got dumped by her boyfriend.,negative
pcrnya,pacarnya,her boyfriend,"Digunakan dalam percakapan santai untuk merujuk kepada pacar seseorang, biasanya dalam konteks akrab atau informal.","Used in casual conversations to refer to someone's boyfriend, typically in a familiar or informal context.",Kemarin aku lihat pcrnya di mall.,I saw her boyfriend at the mall yesterday.,positive
mnjual,menjual,to sell,"Digunakan dalam konteks informal atau percakapan sehari-hari, sering kali di kalangan anak muda dan di media sosial.","Used in informal contexts or everyday conversations, often among young people and on social media.",Dia lagi mnjual barang-barang bekas di Instagram.,He is selling used items on Instagram.,neutral
kkak,kakak,older sibling,"Digunakan sebagai panggilan akrab atau hormat kepada kakak, baik laki-laki maupun perempuan, terutama di kalangan teman atau keluarga.","Used as a familiar or respectful term for an older sibling, regardless of gender, especially among friends or family.","Kkak, ada yang mau dibantu?","Older sibling, is there anything I can help with?",positive
rekomendasiin,merekomendasikan,to recommend,"Digunakan secara informal untuk menyarankan sesuatu kepada orang lain, sering kali dalam konteks santai atau akrab.","Used informally to suggest something to someone, often in a casual or familiar context.","Gue rekomendasiin film itu, seru banget!","I recommend that movie to you, it's really fun!",positive
sihhh,sih,emphasizing or highlighting,Digunakan untuk menekankan suatu pernyataan atau menambahkan nuansa santai dalam percakapan.,Used to emphasize a statement or add a casual tone in conversation.,"Kamu udah makan sih,hh?","Have you eaten, though?",neutral
cooocok,cocok,suitable,"Digunakan untuk mengekspresikan kesesuaian atau kecocokan antara dua hal, sering kali dalam konteks yang santai atau akrab.","Used to express suitability or compatibility between two things, often in a casual or familiar context.",Kita cocok banget ya kalau jadi tim bareng.,We are so suitable to be a team together.,positive
mrip,mirip,similar,"Digunakan dalam konteks informal untuk menunjukkan kesamaan antara dua hal atau lebih, seringkali dengan nada santai atau akrab.","Used informally to indicate similarity between two or more things, often in a casual or familiar tone.",Kamu dan adikmu mrip banget.,You and your brother are so similar.,positive
mama.nyy,mamanya,his/her mom,"Digunakan dalam konteks informal atau akrab untuk merujuk pada ibunya seseorang, sering kali digunakan dalam percakapan sehari-hari di kalangan anak muda.","Used in informal or familiar contexts to refer to someone's mother, often in everyday conversations among young people.",Mama.nyy selalu masak makanan favoritku.,His/her mom always cooks my favorite food.,positive
bosenin,membosankan,boring,"Digunakan untuk menggambarkan situasi, aktivitas, atau orang yang tidak menarik dan membuat orang merasa tidak terhibur.","Used to describe situations, activities, or people that are uninteresting and make others feel unamused.","Acara ini bosenin banget, aku hampir tidur.","This event is so boring, I'm almost falling asleep.",negative
bukn,bukan,not,"Merupakan bentuk singkat dari 'bukan', sering digunakan dalam percakapan santai, terutama di media sosial atau pesan teks.","It is a shortened form of 'bukan', often used in casual conversations, especially in social media or text messages.",Itu bukn masalah besar.,That's not a big deal.,neutral
sey,sih,really / indeed,"Digunakan untuk menekankan atau memperkuat pernyataan, sering kali dalam percakapan santai.","Used to emphasize or reinforce a statement, often in casual conversations.",Ini sey seru banget!,This is really fun!,positive
cantikkk,cantik,beautiful,"Digunakan untuk mengekspresikan pujian yang berlebihan atau kekaguman terhadap penampilan seseorang, sering kali dengan nada bermain-main atau santai.","Used to express excessive praise or admiration for someone's appearance, often in a playful or casual tone.",Kamu cantikkk banget hari ini!,You look so beautiful today!,positive
banger,banget,awesome / amazing,"Digunakan untuk menggambarkan sesuatu yang sangat baik, menarik, atau mengesankan.","Used to describe something that is very good, interesting, or impressive.",Makanan di restoran itu banger banget!,The food at that restaurant is so awesome!,positive
kaa,kak,older sibling,"Digunakan sebagai panggilan akrab atau hormat kepada orang yang lebih tua, mirip dengan 'kak'.","Used as a familiar or respectful term for an older person, similar to 'kak'.","Kaa, bisa bantu saya sebentar?","Older sibling, can you help me for a moment?",positive
eakyu,waktu,time,"Digunakan dalam percakapan sehari-hari untuk merujuk pada waktu yang tepat atau waktu tertentu, sering kali dalam konteks santai.","Used in everyday conversation to refer to the exact time or a specific time, often in a casual context.",Eakyu sekarang sudah larut malam.,The time is already late at night.,neutral
cntik,cantik,beautiful,Digunakan sebagai ungkapan pujian untuk menggambarkan seseorang atau sesuatu yang menarik secara fisik.,Used as a compliment to describe someone or something that is physically attractive.,Dia benar-benar cntik hari ini.,She looks really beautiful today.,positive
kakanya,kakaknya,older brother/sister,"Digunakan dalam konteks informal untuk merujuk kepada kakak, sering kali dengan nuansa akrab dan sayang.","Used informally to refer to an older sibling, often with a tone of familiarity and affection.",Kakanya datang ke rumah hari ini.,Her older brother/sister came to the house today.,positive
doeloe,dulu,before / in the past,"Digunakan untuk merujuk pada waktu yang sudah berlalu, seringkali dengan nuansa nostalgia atau pengingat akan masa lalu.","Used to refer to a time that has already passed, often with a sense of nostalgia or reminder of the past.",Doeloe kita sering main bareng di taman.,"In the past, we used to play together in the park.",positive
cantikkkk,cantik,beautiful,"Digunakan untuk mengekspresikan kekaguman terhadap penampilan seseorang, sering kali dengan penekanan berlebihan untuk menunjukkan rasa suka yang mendalam.","Used to express admiration for someone's appearance, often with exaggerated emphasis to show deep affection.",Dia cantikkkk banget hari ini!,She looks so beautiful today!,positive
bngtt,banget,very,"Digunakan dalam percakapan santai untuk mengekspresikan tingkat ekstrem dari sesuatu, sering kali dengan nada emosional yang kuat.","Used in casual conversations to express an extreme level of something, often with a strong emotional tone.",Film itu bngtt seru!,That movie is so good!,positive
iyak,iya,yes,Slang yang digunakan dalam situasi santai atau akrab untuk menyatakan persetujuan atau konfirmasi.,A slang used in casual or familiar situations to express agreement or affirmation.,"Iyak, aku setuju dengan pendapatmu.","Yes, I agree with your opinion.",positive
malh,malah,rather / instead,"Digunakan untuk menunjukkan alternatif atau pilihan yang berbeda, sering kali dengan nuansa mengejutkan atau bertentangan dengan harapan.","Used to indicate an alternative or different choice, often with a surprising or contrary nuance.","Dia tidak marah, malh dia tertawa.","He didn't get angry, rather he laughed.",neutral
laki2,laki-laki,male,Slang untuk menyebut pria atau laki-laki dalam konteks informal. Sering digunakan dalam percakapan sehari-hari di kalangan teman atau remaja.,A slang term used to refer to men or boys in an informal context. Commonly used in everyday conversations among friends or teenagers.,Si laki2 itu suka main bola.,That guy loves to play soccer.,neutral
gag,enggak,no / not,Digunakan secara informal untuk mengekspresikan penolakan atau ketidaksetujuan dengan cara yang santai.,Used informally to express rejection or disagreement in a casual manner.,"Gag, aku enggak mau nonton film itu.","No, I don't want to watch that movie.",negative
fhotonya,fotonya,his/her photo,"Digunakan dalam konteks informal untuk merujuk pada foto seseorang, sering kali dalam percakapan santai di media sosial.","Used informally to refer to someone's photo, often in casual conversations on social media.",Lihat deh fhotonya dia di Instagram.,Look at his/her photo on Instagram.,neutral
bleh,boleh,can / may,"Digunakan dalam percakapan santai untuk menyatakan izin atau kemungkinan, seringkali dengan nada yang lebih kasual dan akrab.","Used in casual conversations to express permission or possibility, often with a more relaxed and familiar tone.","Kalo mau nonton bareng, bleh aja.","If you want to watch together, it's fine.",positive
tnggl,tanggal,date,"Digunakan dalam konteks informal untuk merujuk pada tanggal tertentu, sering kali di media sosial atau pesan singkat.","Used in informal contexts to refer to a specific date, often seen in social media or text messages.",Jangan lupa tnggl deadline tugasnya!,Don't forget the due date for the assignment!,neutral
tanteny,tantenya,her aunt,"Digunakan untuk menyebut tantenya dalam konteks yang lebih santai atau akrab, sering kali di kalangan anak muda.","Used to refer to her aunt in a more casual or familiar context, often among young people.",Tanteny jago masak banget!,Her aunt is such a great cook!,positive
ky,kaya,rich,Digunakan dalam konteks percakapan santai untuk menggambarkan seseorang yang memiliki banyak uang atau kekayaan.,Used in casual conversations to describe someone who has a lot of money or wealth.,"Dia baru beli mobil baru, pasti dia ky banget.","He just bought a new car, he must be really rich.",positive
sklinyaa,sekalinya,once,"Digunakan untuk menekankan bahwa sesuatu hanya terjadi sekali, sering kali dengan nuansa keinginan atau harapan.","Used to emphasize that something happens only once, often with a tone of desire or hope.",Sklnyaa kamu datang ke acara itu.,Once you came to that event.,positive
ayoo,ayo,come on,Digunakan untuk mengajak seseorang melakukan sesuatu dengan semangat atau dorongan.,Used to encourage someone to do something with enthusiasm or motivation.,"Ayoo, kita berangkat sekarang!","Come on, let's leave now!",positive
dramaa,drama,drama,"Digunakan untuk menggambarkan situasi yang berlebihan atau bertele-tele, seringkali dalam konteks emosional atau konflik, baik dalam hubungan antarpribadi maupun di media sosial.","Used to describe situations that are excessive or melodramatic, often in emotional or conflict contexts, whether in interpersonal relationships or on social media.",Dia selalu membuat dramaa setiap kali ada masalah kecil.,She always creates drama whenever there's a small issue.,negative
niiih,nih,here,"Digunakan untuk menekankan atau menunjukkan sesuatu yang sedang dibicarakan, sering kali dalam situasi santai.","Used to emphasize or point out something being discussed, often in casual situations.","Niiih, ini dia jawaban yang kamu cari!","Here, this is the answer you were looking for!",positive
lha,lah,lah,"Digunakan untuk menekankan atau mengekspresikan rasa heran, ketidakpuasan, atau ketegasan dalam suatu pernyataan.","Used to emphasize or express surprise, dissatisfaction, or assertiveness in a statement.","Lha, kok dia bisa datang duluan?","Well, how could he arrive first?",neutral
dunk,dong,of course,"Digunakan untuk menegaskan atau menyetujui sesuatu dengan semangat, sering kali dalam konteks yang santai atau akrab.","Used to affirm or agree with something enthusiastically, often in a casual or familiar context.","Kamu mau ikut nonton film? Ya, dunk!",Do you want to join to watch the movie? Of course!,positive
lihaat,lihat,look,Digunakan dalam bahasa gaul untuk menarik perhatian seseorang agar memperhatikan sesuatu.,Used in slang to draw someone's attention to look at something.,"Lihaat, ada mobil keren lewat!","Look, there's a cool car passing by!",positive
yuwkkk,yuk,let's,Digunakan untuk mengajak seseorang melakukan sesuatu dengan nada santai dan bersahabat.,Used to invite someone to do something in a relaxed and friendly tone.,"Yuwkkk, kita nonton film bareng yuk!",Let's go watch a movie together!,positive
editannn,editan,edited version,Digunakan untuk menyebut hasil editan dari foto atau video yang sering kali dibuat agar terlihat lebih menarik atau lucu.,"Used to refer to the edited result of a photo or video, often created to look more attractive or humorous.",Foto-foto di Instagram sekarang banyak yang editannn.,Photos on Instagram nowadays often have edits.,positive
thu,tuh,that,"Digunakan untuk menunjukkan atau menekankan sesuatu yang dekat dengan pembicara, sering kali dalam konteks informal atau santai.","Used to indicate or emphasize something that is close to the speaker, often in informal or casual contexts.","Lihat thu, ada mobil baru di depan rumah.","Look at that, there's a new car in front of the house.",neutral
mai,mau,to want,Digunakan dalam percakapan sehari-hari untuk menyatakan keinginan atau permintaan secara informal.,Used in everyday conversation to express desire or request informally.,Mai beli es krim yuk!,Let's go buy ice cream!,positive
kamuu,kamu,you,"Merupakan bentuk informal dari 'kamu', sering digunakan dalam percakapan santai atau akrab antara teman.","An informal version of 'kamu', often used in casual or friendly conversations among peers.",Kamuu mau ikut nonton film nggak?,"Are you going to watch the movie, you?",positive
pastii,pasti,sure / definitely,"Digunakan untuk mengekspresikan kepastian dan keyakinan, sering kali dalam situasi santai atau akrab.","Used to express certainty and assurance, often in casual or familiar situations.",Aku pastii datang ke pesta besok.,I'm definitely coming to the party tomorrow.,positive
bisaaa,bisa,can,"Digunakan untuk mengekspresikan kemampuan atau kemungkinan dengan penekanan emosional yang lebih kuat, sering kali dalam situasi yang menggembirakan atau penuh semangat.","Used to express ability or possibility with a stronger emotional emphasis, often in exciting or enthusiastic situations.",Aku bisaaa ngerjain tugas ini!,I can totally finish this assignment!,positive
kejuu,keju,cheese,"Digunakan dalam konteks santai atau informal, terutama di kalangan anak muda atau di media sosial, untuk menyebutkan makanan yang populer dan disukai.","Used in a casual or informal context, particularly among young people or on social media, to refer to a popular and liked food item.",Aku suka banget kejuu di pizza.,I really love cheese on pizza.,positive
kereen,keren,cool,"Digunakan untuk menyatakan sesuatu yang menarik, mengesankan, atau bagus, sering kali dalam konteks positif dan santai.","Used to express something that is interesting, impressive, or good, often in a positive and casual context.",Acara konser kemarin itu kereen banget!,The concert last night was so cool!,positive
nama.a,namanya,his/her name,"Digunakan untuk menyebut nama seseorang dengan cara yang lebih santai atau informal, sering kali dalam percakapan sehari-hari.","Used to refer to someone's name in a more casual or informal manner, often in everyday conversation.","Eh, nama.a si dia siapa ya?","Hey, what's his/her name again?",neutral
kmauan,kemauan,will / desire,"Digunakan untuk mengekspresikan keinginan atau tekad seseorang dalam situasi informal, sering kali menunjukkan semangat atau harapan.","Used to express someone's desire or determination in informal situations, often indicating enthusiasm or hope.",Aku punya kmauan untuk belajar bahasa baru.,I have the will to learn a new language.,positive
